rustsec_id,cve_id,severity,target_crate,fix_time,downstream_crates_with_history,affected_edges,locked_out_edges,break_rate_percent,affected_req_exact_pin,affected_req_has_upper_bound,affected_req_caret_0x,affected_req_other,unknown_req_unparseable
RUSTSEC-2023-0053,RUSTSEC-2023-0053,HIGH,rustls-webpki,2023-08-22 08:52:30.021769 UTC,21,21,0,0,0,0,21,0,0
RUSTSEC-2023-0055,RUSTSEC-2023-0055,INFO,lexical,2024-09-14 22:59:42.652156 UTC,52,52,52,100,0,0,0,52,0
RUSTSEC-2023-0056,CVE-2023-41051,LOW,vm-memory,2023-08-29 13:28:11.682345 UTC,26,26,15,57,0,0,24,2,0
RUSTSEC-2023-0057,RUSTSEC-2023-0057,INFO,inventory,2021-11-10 04:55:18.999125 UTC,44,44,43,97,1,1,37,5,0
RUSTSEC-2023-0058,RUSTSEC-2023-0058,INFO,inventory,2021-11-10 04:55:18.999125 UTC,44,44,43,97,1,1,37,5,0
RUSTSEC-2023-0060,CVE-2023-4863,UNKNOWN,libwebp-sys2,2023-09-12 23:59:20.255778 UTC,4,4,0,0,0,0,4,0,0
RUSTSEC-2023-0061,CVE-2023-4863,UNKNOWN,libwebp-sys,2023-09-13 06:53:23.802213 UTC,2,2,0,0,0,0,2,0,0
RUSTSEC-2023-0062,CVE-2023-39914,HIGH,bcder,2023-09-13 09:26:06.795857 UTC,11,11,3,27,0,0,11,0,0
RUSTSEC-2023-0063,CVE-2023-42805,HIGH,quinn-proto,2023-09-20 21:19:50.278634 UTC,33,33,8,24,0,0,33,0,0
RUSTSEC-2023-0064,CVE-2023-53158,UNKNOWN,gix-transport,2023-09-25 06:29:25.724368 UTC,3,0,0,0,0,0,0,0,0
RUSTSEC-2023-0065,CVE-2023-43669,HIGH,tungstenite,2023-09-23 00:34:51.099547 UTC,240,240,218,90,4,0,231,5,0
RUSTSEC-2023-0068,CVE-2024-21530,MEDIUM,cocoon,2023-10-17 14:48:25.544573 UTC,2,2,2,100,0,0,2,0,0
RUSTSEC-2023-0069,CVE-2023-42456,LOW,sudo-rs,2023-09-21 14:41:32.268588 UTC,0,0,0,0,0,0,0,0,0
RUSTSEC-2023-0070,RUSTSEC-2023-0070,UNKNOWN,self_cell,2023-11-11 09:44:18.736323 UTC,21,21,0,0,0,0,6,15,0
RUSTSEC-2023-0072,RUSTSEC-2023-0072,INFO,openssl,2023-11-23 02:01:15.764432 UTC,1172,1172,96,8,4,3,1120,45,0
RUSTSEC-2023-0073,CVE-2023-6245,HIGH,candid,2023-10-17 19:26:52.957311 UTC,118,72,0,0,0,0,72,0,0
RUSTSEC-2023-0074,RUSTSEC-2023-0074,UNKNOWN,zerocopy,2023-12-14 00:41:13.578339 UTC,133,133,2,1,2,1,130,0,0
RUSTSEC-2023-0075,RUSTSEC-2023-0075,INFO,unsafe-libyaml,2023-12-14 22:32:41.475376 UTC,4,4,0,0,0,0,4,0,0
RUSTSEC-2023-0077,CVE-2023-53157,UNKNOWN,rosenpass,2023-11-18 22:17:48.019045 UTC,0,0,0,0,0,0,0,0,0
RUSTSEC-2023-0078,RUSTSEC-2023-0078,INFO,tracing,2023-10-19 01:05:24.833936 UTC,4882,4875,0,0,0,2,4815,58,0
RUSTSEC-2023-0080,CVE-2023-53156,UNKNOWN,transpose,2024-02-20 03:58:36.169021 UTC,18,18,0,0,0,0,18,0,0
RUSTSEC-2023-0082,CVE-2023-42444,HIGH,phonenumber,2023-09-19 10:44:45.112126 UTC,17,17,0,0,0,0,17,0,0
RUSTSEC-2023-0083,CVE-2023-42447,HIGH,blurhash,2023-09-19 11:34:47.811068 UTC,2,2,2,100,0,0,2,0,0
RUSTSEC-2023-0086,RUSTSEC-2023-0086,INFO,lexical-core,2024-09-14 22:59:33.317862 UTC,42,42,40,95,0,1,39,2,0
RUSTSEC-2023-0087,RUSTSEC-2023-0087,INFO,simd-json-derive,2023-10-14 17:24:35.147113 UTC,4,4,4,100,0,0,4,0,0
